"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","25000","No"
"0x000000000000084e91743124a982076c59f10084","1E-08","No"
"0x000000000000740a22fa209cf6806d38f7605385","1E-08","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","215.01167668","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-08","No"
"0x00000000553a85582988aa8ad43fb7dda2466bc7","0.00083063","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","0.00397186","No"
"0x00000000acd5ca17eee6d92d9ca121543126cce1","1E-08","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","0.00490121","No"
"0x00000000c9fdd743c60055c0e4ea30d266272c1f","1E-08","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-08","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-08","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-08","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-08","No"
"0x000000a61aa8c4e48a832cc39655ef8156097aa2","1E-08","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-08","No"
"0x000007eb3505a618a5d208fd306a8bed1f94c345","6.5E-07","No"
"0x0000787ac4ff49ff6e7f0860c43b30ec5d7f4f1a","3754.55189774","No"
"0x0000e9ef000000a15f1f02c1008d21eb66001534","1E-08","No"
"0x000194bb64896e6ea2549c87f85649e8bf871337","40912.83909224","No"
"0x0003493982d73ea429b92a27fdb250e06d2f599e","359","No"
"0x00057d8c5f21bdec7e25f301b91ad7394df7c6da","4809.09082667","No"
"0x0005ccfc729f11a55d4b4a30659a17c613d227f1","20000.01163506","No"
"0x00093b8f4bbdeade7904748de0f3435d654576ac","58.26402649","No"
"0x0009533d6dbfbe7df90d6d9b1a98f9193e63021b","577.52764471","No"
"0x000ced14e8b984329e241aab5d977e2d28d930e6","471.13599965","No"
"0x001008fcc5d9317663c1d91098b6bf1cfa3d1bea","179920","No"
"0x00147df483cb188c2a526e70a5252779181e9a98","71810.46362064","No"
"0x0015bf07a1a2c03d5a70ba7d5c4360b59af08e25","19.46843812","No"
"0x0024982051fde42c80986de5edd8c5ffcc1b81f1","0.56","No"
"0x0027cabc21028d1936b8e38bc72820f5af35bc9a","276.31638495","No"
"0x002894587107b9a3bed99171a0046d78155df5b6","9.4","No"
"0x0028a39675b2328029a9b1fb9ad9761af5cc600c","1000000","No"
