"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","1325255274.82259","No"
"0x000000000000084e91743124a982076c59f10084","1E-08","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","1E-08","No"
"0x0000000008c9f3e47c663451c87dc7ae4d029c9b","1E-08","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-08","No"
"0x000000005be1b41f8ed12d32409c8475e83f2ee3","1E-08","No"
"0x00000000acd5ca17eee6d92d9ca121543126cce1","1E-08","No"
"0x00000000c9fdd743c60055c0e4ea30d266272c1f","1E-08","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-08","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-08","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-08","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-08","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-08","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-08","No"
"0x0000028ec35f2dc53d4f5c17690d58118b91011c","8.6E-07","No"
"0x0000e9ef000000a15f1f02c1008d21eb66001534","1E-08","No"
"0x00138888221a216e5c865986a6e421ef6def30ea","1011579.69799003","No"
"0x002d4178d055ef317b7d8b76b3548b133a7cccc6","344.03335541","No"
"0x0032311e56bc34efde20b408bb99d986eea1863a","113949.59844982","No"
"0x0038897b19781cdf4f28c1e6b555b7c06208ea09","263335.34598584","No"
"0x003c6df13f3c95f12e0f3e2c82e3980d9732558b","500000","No"
"0x004ce9c008ecdfdc40edefa459b38117d4640ba4","10385.68033889","No"
"0x00582f083582f59a0da86a0688332c77c7044a3a","0.3251","No"
"0x0081dd435763bc1223c8a9927a9ce0e3ab48d22d","99276.13728052","No"
"0x00845dcec57fee7c8c00afc276076a189f5db7db","7000.8292228","No"
"0x00adbb7d7170cdfdee0f68a226bbb64d069f0e2b","5015.79535037","No"
"0x00cdc98846e6d5b0fe2860feed7100f06eeda221","38011.39210551","No"
"0x00eb0743c48aada7481fd81592e01bfc7ed13023","700","No"
"0x00fe6ba5fd3c61a13e855dbea52f0d823e9d9328","10000","No"
"0x010b9d8c32a856d64d2a818b3415f520f428a8ef","10000","No"
"0x011f21e73ed7348c298bf92d3f2d99a31b96bc9c","100662.63172478","No"
"0x01222a114552e89e4c548170f8c1f4d5460d255a","7700.51417332","No"
"0x012a0f5339e32e70d922992c8ce0dedc55ab4dba","50595.17","No"
"0x012e77b32ecfb448a493ea156fa06ac0909b20f2","3837.29854183","No"
"0x013b802b05f668f6eccbca174b0c8a88a3fc5d21","5000","No"
"0x01583ed1894d77e8a9a1e3ea2b3b4c6c9d0e1114","95835","No"
"0x015a5f6ec2656817e7213ced8fc1a291c3eb0031","700","No"
"0x015f9a7393cac20f10555104dc3501dfc038c353","45649.13059356","No"
"0x0163980042bc17d8a89f63035a39a4db05bcf297","10.77953698","No"
"0x01795f7072908603606db5ce53ff53cf53f204d0","50000","No"
"0x017b55d706458773a2cde810de6646d6da6afedc","5989.69859122","No"
"0x01819db7ad729b96989a6ec0019ce65d0e295519","37807.50499184","No"
"0x0184a5bea3e3d44934e101ec61e1821a6f9b0d9c","1279.15906216","No"
"0x018785c389e5cac4de2513cb42bb6ab6151814c6","37423.63413213","No"
"0x01c4362a45c441c17b8a4a420db03f05ad3d333c","5000","No"
"0x01c6248a9f95d59b4a30a2408f94d6e682094622","41691.76491769","No"
"0x01ce9195c2f7bdb11ca3837f12ec8d797cd4a290","5000","No"
"0x01d1a5c8c6a2a24e5f99069450a07e896a50fc16","1.9E-07","No"
"0x0215d796e774478faa87bdbc2a7cf42b8687f515","69318.73359819","No"
"0x0238de4ee5a6df712bef52939e10c51518b93a91","0.23911382","No"
"0x023a02d2be23022d8c4925cb0168c2330502f202","60821.32758238","No"
"0x026e6c7161c88d603708f6e4ca226e6d94bd04cb","50358.56455695","No"
"0x02718a3e2fe3251868d161d04925ee599dafdb58","700","No"
"0x0281acb1e1aa20175e52fa95ff5b131c36e4aef5","2100000","No"
"0x0299ad100ae727b7b72317e1fac8da494dec9d05","10742.87711309","No"
"0x02a5efccce48005b8ae8a1a54f380c529043dbf4","7415.17377575","No"
"0x02bc8e2a1c138540ee63d4cbf2662e46ed0484c8","1700","No"
"0x02d171bfb9e787b97954f0106c56db4a0d127809","5000","No"
"0x03292d9f5e91eabb4849c98a80678cbeba13eb0b","0.08637861","No"
"0x0342e428f6f5cbdee30641ddb5557ddece2e1f16","60000","No"
"0x036aa01d71914863024e145ce39760130f8f6ac4","5000","No"
"0x036b2988987bfd3e04669abc2af1737c73ec067c","1700","No"
