"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000084e91743124a982076c59f10084","1E-08","No"
"0x0000000000000eb4ec62758aae93400b3e5f7f18","1.62733363","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","0.00357853","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-08","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-08","No"
"0x000000005be1b41f8ed12d32409c8475e83f2ee3","1E-08","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-08","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-08","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-08","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-08","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-08","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-08","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-08","No"
"0x0000e9ef000000a15f1f02c1008d21eb66001534","1E-08","No"
"0x00070c7f3ca2e3459753c7d9279c325ae552825f","110.45571289","No"
"0x001b1d25304c9f386b84720ef19ea9caa8253ff0","1552.39233726","No"
"0x002cc5f612080ffee812b7fd9ecab4fe235f8cde","2.09E-06","No"
"0x00367959297b4fe33223d0591668b947fcc7c318","137.30136948","No"
"0x003933eb6e15835d730e3f426f75a57a1034caff","5.412E-05","No"
"0x003c1eab902237b0657921ebbde15b84a012bf13","208.554","No"
"0x0047509f2e5e700031aec9c3a17b796b11479c01","10","No"
"0x0086f0cfaa9cb601ad8435735b54496c9240b5c0","75","No"
"0x008de25d57655acc4cbd2145cf4b0f8f8e6e71e4","301.74316881","No"
"0x0093e5f2a850268c0ca3093c7ea53731296487eb","31763.28018827","No"
"0x009b862157c7414a06624f1823e10e956bda73f9","270.10488717","No"
"0x00af421968a85cd27fc628cb716208aa33040be8","1034.99611725","No"
"0x00c2db25e26b7e0ae3ea1b9f61ebe2b4b9c00d99","1.143E-05","No"
"0x00e7d7e3615bcc3bed8593701ccb5e040cb5ccb8","608.06992784","No"
"0x00f833fc0b355f2f481cf990e5be75f08ed71c93","18.03265168","No"
"0x00fb9b1ebefded1e03630e86d71c6babbe619e02","3.6E-05","No"
"0x0108347068616a6bf61e138736ad11fe3ea22c36","363.62848841","No"
"0x011aaaef6f01eac77c75b039744a6755b55c5a78","127.74372471","No"
"0x011e0daeab0956b85d293a07b66a5c34cac0526a","799.84437637","No"
"0x01206255a7423f72b27d85a4c57c4ace566273d8","375","No"
"0x01222a114552e89e4c548170f8c1f4d5460d255a","203.12202895","No"
"0x013f33f1aeaa6d56ae636e15e5308e2fe383cb7f","419.73909042","No"
"0x014c81f06711d69668117557603c83d6be2fceac","332.73825775","No"
"0x014f5b02fb30ce0da09e74c4126d331b211faf03","39.23441502","No"
"0x018f0d6edad04715e550c1c852dc9ef2ff39fa7e","306.3181317","No"
"0x0196c0750061a860d535ac463f9b2c11f79698a5","0.26214714","No"
"0x019ea1afabcbd84d922043c4261052a583315d2c","1384.86379254","No"
"0x01dcf7334a12c3e93a9a863ce61a8d0f41213e6c","658.41921538","No"
"0x01f85420f032d20c4d24fa4ef9374c05f935df67","3950.54932774","No"
"0x0209868a1b82d8712062cfb3e55646215b4c5af5","350","No"
"0x0212e3d9df5d254d70faea674c561ae2bcc2ce05","52.08200887","No"
"0x0213268324277d5a6bf3d6a0d07d05bbc69f7016","298.34976551","No"
"0x0245684ff8f27317e38ea1153d078fa716e31a78","1130.17939502","No"
"0x025f60cacbc3f55f7eb66d760bf4d865f75ea957","1000","No"
"0x028e37e7174ffd682876e96a82d732f6b60e0057","3020.76293306","No"
"0x02930f8007b01c912aca12d49c3a9d570ed14ce2","79.53034127","No"
"0x029cc16a9772fae5ee75ca5505e5d21703da3263","200","No"
"0x02a6bc857bb668abe0bf4fdb21b4cb4fe688fec0","1685.12342959","No"
"0x02ba3b5215414f95ec5e718bb73582aa39ec33d3","102.36615695","No"
"0x02bca2c4d9e836af4b44885a965a1a9c443129d6","452.37170081","No"
"0x02e8b1187ca6d5d515ed194dbd319d2a0c673175","407.63175696","No"
