"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","8026.08645410089","No"
"0x00000000007f6202ba718df41ec639b32dd7fbcf","1E-17","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-18","No"
"0x00000000553a85582988aa8ad43fb7dda2466bc7","0.728067281299347","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x00000000751edf02c727ea9d0c1c8e64f169e343","1E-18","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","0.460852776162695","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","0.834126387517431","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-18","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0x00000319b4bf231cfb44d365863c878d2ff39d64","0.039292982098825","No"
"0x0000672e664ed2a4cbc4a2dddd074c0866e1781f","25","No"
"0x0000d62812558b050e5190a187a1bf8612bc0798","98.9","No"
"0x000109c36175e57cd34c75008236a50f3c2dd762","50","No"
"0x00016fdac77f87f73345e739017e3790c52dd71b","25","No"
"0x0004f4355b60c6dd90b0cee75714ae7e7b09a167","5896.419","No"
"0x00051c60e4c9d03bbe822ee139d8cf99aa0a5ca0","25","No"
"0x00064b43a926553c84c87f4e6153339cd07a104b","25","No"
"0x000a62e8b8652e2d4afb3ce26ba36d6eb066ee69","25","No"
"0x000beb270fec2e19ba13e43a608d0552154c5a94","25","No"
"0x000dd27eed3b3b9ba0edaf848feb01f97ea3a1c3","37284.4347342868","No"
"0x000e6b3a95acc2b2b7eee7658e2d3571c8f70d2f","50","No"
"0x000ec98ecc0dbd3f648c1c5ef9b6cc392a2abd35","25","No"
"0x000fe64ee0610e50bb2f40b0e769e28e5c975d82","25","No"
"0x00104839d69c43c5e90b1f6ae0e280a42b01d95b","77187.93","No"
"0x0011481ccc4af5a5fda21bdd3f62eaa95f86c142","25","No"
"0x0013ca9914e683f709efb1a2343ccc101b177d30","25","No"
"0x0013d759a369091f3d2d1d1a516adaf068f67923","2282.5","No"
"0x0017e731c2320df42d17444cc497c08caea02ebc","25","No"
"0x0018abb18b9e93f51183902fb80392cd5604a3e4","25","No"
"0x00199eae28402ab857ac4df811a9ff95cae22d55","25","No"
"0x001a9ff680626c84442293796e8e624c177d52e1","25","No"
"0x001b790fe678767258e7fbf8f7dcf72ea5b89f54","25","No"
"0x001bbad493faacbb80f3b298452632e13599c094","25","No"
"0x001c5e65c71d39789d2bba40980e56550becd023","25","No"
"0x001d451450564c9c79cdd0fccc3ef5573ff3b7f2","83159.5854288395","No"
"0x001e0d294383d5b4136476648acc8d04a6461ae3","25199","No"
"0x001e6f668990f878c8f786901a2f9b8932239af3","19833.1668973956","No"
"0x001f7b69b09276b0b4d6f4b4472e945335b48bd3","25","No"
"0x002294ef488c6b7863cd7c5357800765d1854b04","3135.85429590086","No"
"0x0023cceab1d42f47743d158c4ce07768a0a8e96b","5989.092","No"
"0x0024fd7d0c646d101b7b6889e791e3b5acf21628","60001.5701774696","No"
"0x002674a036439686661bd0ef71d885275bb78670","25","No"
"0x00277c87fabed9b06ecaf1c8c1685e3f0d93cfd8","25","No"
"0x00282fab4cf0515605c17c3d9e085e814652eb72","0.0464","No"
"0x002930a6bba78f78c9a89c86149eae7927e6e747","25","No"
"0x00297edd059514fe7035e2258e9f664def4301c9","25","No"
"0x0029fb7de64be45512a6f67d1d00814e78438539","15000","No"
"0x002a5439b4cac95761e3141f4e1dfa9c6cefa4d6","281755.156","No"
"0x002b1baeb34ff3feefc9eccb468aab671c81ff61","25","No"
