HolderAddress,Balance_2021-04-14_23-2,Balance_2021-04-16_20-48,Balance_2021-04-18_12-19,Balance_2021-04-19_18-20,Balance_2021-04-20_17-34,Balance_2021-04-21_17-42,Balance_2021-04-22_17-20,Balance_2021-04-23_22-23,Balance_2021-04-24_9-7,Balance_2021-04-25_18-18,Balance_2021-04-26_20-52,Balance_2021-04-27_19-34,Balance_2021-04-28_20-40,Balance_2021-05-01_9-25,Balance_2021-05-04_20-44,Balance_2021-05-05_18-35,Balance_2021-05-09_9-55,Balance_2021-05-12_21-57,Balance_2021-07-18_12-55
0xab50cfb2f01e20897514d72ac50b3e3e7f28c8a6,722140.712936324,722016.553354567,743898.027175661,751301.098313062,762565.564450845,778393.371608829,806874.738996171,825691.55610283,825691.55610283,825691.55610283,836649.685720735,849667.429048621,861560.292723964,887585.564553303,913042.926666139,930819.892783149,1049583.753761209,1093720.375122321,295296.297986549
0x6ac3ca8a477ccf000b8cb648d7d730c8694dfc7b,713532.837185832,713410.157579146,735030.805491223,742345.632446596,753475.826796107,769114.967403407,797256.838530141,815849.360259497,815849.360259497,815849.360259497,826676.869602822,839539.442179204,851290.543603782,877005.595690256,902159.507511373,919724.57321505,1037072.775803222,1080683.291177069,365176.944441612
0x65ae77ff78fe3dde319c6e1a9572ad565f36675e,683618.30790673,683500.771584971,704214.983981691,711223.140250412,721886.706426139,736870.183404219,763832.219793271,781645.258776129,781645.258776129,781645.258776129,792018.829872481,804342.145131066,815600.587144181,840237.547742128,864336.893616954,881165.552185741,993593.986461611,1035376.151448428,349867.072453609
0xc671a41162789649457058c4ee454d6fccd2c44c,678667.959079144,682906.533662279,703602.737051465,710604.800405012,721259.095639614,736229.545931252,763168.141433092,793565.683101868,793565.683101868,793565.683101868,804097.455591822,816608.70667594,828038.844742395,853051.529521007,877518.400722156,894603.703527853,1008746.719486141,1051166.080349602,355202.694865982
0xc998f219e36cec9fef7a6a2e4c52bebecadfdc36,667105.73534414,671272.098845269,691615.708405839,698498.480105761,708971.261916025,723686.665990481,750000.31825781,767490.788756552,767490.788756552,767490.788756552,793532.159330115,805879.021044028,817158.974833509,841843.009865564,865988.402941096,882849.216433206,995492.470426799,1037354.469602771,350535.571897096
0xd7112a0c39349490a382a72124002d23c3486833,619016.623740322,622882.649965405,641759.766197031,648146.38510005,657864.223958104,663118.850600529,687382.330088272,819861.197913304,819861.197913304,819861.197913304,830741.950185773,955674.291364421,967501.359659177,988817.192533053,1017178.038336556,1036982.517397033,1258981.693012718,1648518.5939583,437413.419687987
0x8f71c90eb559325e5ba23b2323b2e1b7e0e6fe13,605798.280625468,605694.124108871,624050.323919945,630260.703262982,639710.377123198,652988.202608747,676881.002286191,692666.285189999,692666.285189999,692666.285189999,701858.975703743,712779.460291284,722756.292004512,744588.692040395,765944.676990348,780857.636910074,880487.724913843,917513.596539968,310039.781685864
0x0887159799951fa038ecd71dd8335d2c19d14d29,599075.523617335,598972.522962309,617125.017555211,623266.478130092,632611.285629343,645741.76240627,669369.415265685,684979.523322252,684979.523322252,684979.523322252,694070.199309789,704869.495431399,714735.610727192,736325.728925969,757444.718984917,772192.18453297,870716.642339743,907331.624820227,306599.160968062
0x30ab95456e89450c6ea568a62f27f844995cf9e6,597171.802215615,597069.128872494,615163.939098253,621285.883552924,630600.995447313,643689.74665097,667242.316375375,682802.819172474,682802.819172474,682802.819172474,674686.378125445,684580.770970673,694162.903350435,715131.578910471,735642.687123244,749965.666625388,845654.22985871,881215.299103488,152599.750277914
0x977c9abb01ed3e99e9953fd1f472ae9f459e7e70,574898.243128639,570553.917092075,587845.155834966,593695.231177881,602596.66875435,615104.162288963,637610.78717379,652480.264414344,652480.264414344,652480.264414344,661139.627899087,671426.545024347,680824.556640401,701390.318902535,721507.305978283,735555.069294718,829404.97588645,864282.738851568,292052.382306825
0x35d38499a8f1a35c6b65b4accd8404329fb6e541,561084.619300696,582154.619132184,593798.0445812,614687.295201666,623903.472627297,618797.075532737,459225.276317035,484584.615234553,490571.632301659,506092.189310098,526704.220403706,538573.631023339,556088.783690187,611910.144273374,666190.835455927,690041.57253051,716242.999484181,752973.754176419,614290.291365292
0x834e62d799e1ac21114f110c433a85afac36be12,554834.326741819,550641.617439863,567329.392922067,572975.300964177,581566.078869319,593637.061582258,615358.206523049,629708.73984329,629708.73984329,629708.73984329,638065.892028907,647993.796324426,657063.817863069,676911.83617766,696326.741534658,709884.238700567,800458.788824831,834119.319821935,281859.770572118
0xbf1de08e774ba9f6081a2d8dc6e02d706d31aad6,549506.563672944,552938.469545162,569695.853555009,575365.311970651,583991.923974946,596113.257517135,617925.006320596,632335.398996949,632335.398996949,632335.398996949,640727.410775419,650696.726630036,659804.58130262,679735.390240382,699231.279607362,712845.328194235,803797.685479365,837598.62224864,283035.472129962
0xa64ebea13bbb022bd36c5f21a97b31a948d082ff,544616.367277221,531468.211714815,547574.916896782,553024.233758441,561315.879768986,572966.549447594,593724.043584883,607467.722805958,607467.722805958,607467.722805958,615529.704300138,625106.959677179,633856.632313534,653003.627940078,671732.807955339,684811.460686716,772186.960226159,804658.617072368,271904.615811215
0xfe4e63cabd2b48533444106816512a29580a989e,541602.562062912,544985.104030615,561501.452902849,567089.36286865,575591.891268347,587538.87377241,623189.010232177,637722.162729933,637722.162729933,637722.162729933,646185.664709278,656239.907564935,665425.35058907,685525.946887979,705187.918606114,718917.943086956,810645.108900013,844733.99042237,285446.605871384
0x274b7950c0b420e112b8b0f53c6fb7b2f1bfe954,536763.512236995,540115.832248107,556484.612698895,562022.596433468,570449.157396054,582289.397340801,603595.331918764,617671.547740415,617671.547740415,617671.547740415,625868.948853947,635607.076378678,644503.719997133,663972.333685113,683016.113582586,696314.45252582,785157.625601469,818174.719002331,276471.882506131
0x814611f0eb8c0befb5b6892ca836e51784e9b9b4,521386.244936261,512786.26226132,528326.791244147,533584.55598675,541584.737506585,552825.867692073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x95250c44de030ea28d896989ccdbf9ea7c49ee8c,521325.899781258,524581.805233669,540479.810597829,545858.518888502,554042.727344799,565542.435506959,586235.599742819,599906.975891608,599906.975891608,599906.975891608,607868.61526156,617326.668907676,625967.44018532,644876.125885809,663372.196248174,676288.067683409,762576.062465429,794643.566185329,268520.399814526
0xe16377a1c3a6503f6e96d221ce59987f26073c54,449761.693985072,452570.650057169,466286.281347631,470926.635784807,477987.369695736,487908.473223332,505761.015375058,517555.67452851,517555.67452851,517555.67452851,524424.39217985,532584.106154282,540038.728932091,556351.754076729,572308.805014991,583451.670194799,657894.614080802,685560.100873203,231659.677642726
0x018f8eeebb8c10ce2efe7c99a3431e56698aa4b3,428627.497215908,425388.493412368,438280.34075181,442641.987674076,449278.641996172,458603.867310848,475384.155667029,486470.407696332,486470.407696332,486470.407696332,492926.578579285,500596.206368496,507603.091927709,522936.329265127,537934.972807465,548408.578708636,618380.353813469,644384.204802596,0.0
0x110108ae541f07ebeb88c43357a225c9b0df0f4a,425284.888730986,430959.559164886,450269.507058598,467100.404288226,474103.770447098,483944.266007521,326119.449998878,346475.722802015,353956.481180102,370200.120718229,368121.0134855,386800.708853803,403076.838876421,448082.283919008,501706.710898663,523998.385441338,562185.653698195,632147.710208161,432750.931410576
