HolderAddress,Balance_2021-04-14_23-2,Balance_2021-04-16_21-14,Balance_2021-04-18_12-39,Balance_2021-04-19_18-43,Balance_2021-04-20_17-47,Balance_2021-04-21_17-53,Balance_2021-04-22_17-42,Balance_2021-04-23_22-35,Balance_2021-04-24_9-20,Balance_2021-04-25_18-33,Balance_2021-04-26_21-4,Balance_2021-04-27_19-46,Balance_2021-04-28_20-52,Balance_2021-05-01_9-38,Balance_2021-05-04_20-56,Balance_2021-05-05_18-47,Balance_2021-05-09_10-7
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,991312.82512346,948621.68382329,1549169.62483246,751002.43630735,1440376.82021887,1570102.02378779,937687.33900963,924980.38160529,724492.08995659,1717451.54493198,836786.14601623,1455709.35142975,788273.96864043,711659.55164994,1585436.98667692,711507.68220407,1053691.60969779
0x6c31d0ac94ad41d22231cf1ed253905e7216cfbf,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0,959360.0
0x76aab47b5bebe77909e6c7b61e20165178c78313,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786,822435.46288786
0xa2569b0815233b82d7a2a1c700cb33d8463e09f6,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0,813420.0
0x7eeb664594aadf2fdd972bd5bc4ee616d189fb85,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308,770668.5308
0xd551234ae421e3bcba99a0da6d736074f22192ff,767206.15166935,1819808.36834926,883425.08705039,1282801.89798743,658612.84857896,807956.24250826,1836928.69047279,1058658.25208688,908420.28506143,1552865.98212916,774265.76205709,1620786.01069012,1114821.28736846,1492239.88811632,1309336.66370715,775704.36235738,1273702.52493205
0x3aa07a34a1afc8967d3d1383b96b62cf96d5fa90,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335,766409.48113335
0xb41d55259272d8468a7f7f75159a5e3b543cb09a,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143,714285.7143
0x6a8dc8b5dc675d444076aee8333481b54128ae91,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693,699493.9479693
0x8089ac5a2d4bc11f3b87e38dbd4f1641a4d9571f,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0,672819.0
0xfcb1fc182a4839a38a6d3860cdbe4ab4e1e01541,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099,669411.099
0xb35d529d411c06b39caeb66249728d3e72c4be0c,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88,640001.88
0xb083f62ac87ad811a0cc6356d93c63a38ccd9b69,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061,629071.12374061
