HolderAddress,Balance_2021-04-14_23-2,Balance_2021-04-16_21-52,Balance_2021-04-18_13-17,Balance_2021-04-19_19-23,Balance_2021-04-20_18-8,Balance_2021-04-21_18-25,Balance_2021-04-22_18-39,Balance_2021-04-24_9-53,Balance_2021-04-25_19-4,Balance_2021-04-26_21-36,Balance_2021-04-27_20-20,Balance_2021-04-28_21-24,Balance_2021-05-01_10-9,Balance_2021-05-04_21-34,Balance_2021-05-05_19-19,Balance_2021-05-09_10-38,Balance_2021-07-18_13-39
0x85b931a32a0725be14285b66f1a22178c672d69b,11517533.5276884,12756683.03965988,18144594.58802639,24315837.11769355,10756415.30771512,14984802.46829271,7059866.16870436,21939137.08561067,14105387.88545456,8996681.99238016,8080206.73148016,7299229.61417204,12947912.6141933,11657745.3715023,9034304.9305023,24508599.86608461,0.0
0x26e01192e8dff463d3d7b4553561aa78ee026bbb,11300000.0,11300000.0,11300000.0,11300000.0,17900000.0,17900000.0,23000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,22300000.0,22300000.0,22300000.0,22300000.0,0.0
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,11275753.1475,11275753.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x5486618894f04868287a6d1f2931eebc7ff5f3c4,10782326.4427027,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662,10782326.442702662
0x27b1641d279661d9b6797badcee713e0a9bc2345,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,10460251.0,0.0
0x6b235b9d2732cbc7c4c1906729ae7dac35cf9063,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,10400261.45,13850044.33,11789150.35,14061684.54
0xc188225b5262e8bd35b107e046486fa116cfe831,10065765.0726736,10065765.072673602,10065765.072673602,10065765.072673602,10065765.072673602,10065765.072673602,10065765.072673602,10477087.35527553,10477087.35527553,10477087.35527553,10477087.35527553,10477087.35527553,10477087.35527553,10477087.35527553,10477087.35527553,10477087.35527553,10477087.35527553
0xb1b0af046a10d5a58f91cae25425c9d7aa867c77,10035493.3341584,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394,10035493.334158394
0xf062d1b3f658ad32f7896a76807b05ba7a9e7720,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079,9872314.079
0x32c0a4c8cb0d937c5e2f188a752ec2f591627b39,9567593.34742984,9567593.347429836,9567593.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9000003.347429836,9002618.347429836,9002618.347429836,9002618.347429836,8502618.347429836
0xf638c9b050a0da1dd9fa0f94b7f73d5bb6af3ef9,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43,8847031.43
0x9e4df5b6fdf49a9836aca854ad2ffdf6ebc07564,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0,8693955.0
0x677455d3d21d1bfbbc66834c3c84212ece2a44aa,8175032.16278538,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,8175032.162785382,12341698.832785385,12341698.832785385,4066666.66
0x16b12d5efa5a970ed90fa1bd47ef18eb33e5fd60,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955,8000000.01564955
0xed452845ab3668f1491359b7acb8c06ebff84f14,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0,7727400.0
0xe8056b83ba7daf027414b58048a48911acf1b2a9,7675578.96997256,7798603.914868539,8106392.727198168,8220176.152456529,8459894.061576689,8236966.853163124,15543513.265841544,6669304.158114266,11283686.733013663,10905855.609420804,10336545.609481476,10805273.529309222,10548708.56562126,10060003.691943878,9922352.446993873,10727217.193827992,263086.7894340128
0x6b4658a118080583c4cdb262d2b096d946d0ae65,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,7561053.345,0.0
0x924cd9b60f4173dcdd5254ddd38c4f9cab68fe6b,7463641.1628,12290588.1628,13300095.5568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825371.0,0.0,0.0,0.0,0.0
0x65d31f7ec97129ece2c71672057a0cac9282080e,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,7014653.05102229,2063867.59002229
0x93f586302e4f06b48869b11a4734fadd3cd1eea2,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6946160.04,6298097.93,6298097.93,5987837.08
0x564286362092d8e7936f0549571a803b203aaced,6923663.03018013,9850368.66265875,24999999.93294294,19283055.92504294,15418106.2511919,24972916.85621875,13639323.67937636,11391458.12860076,9603102.97370076,17181617.18749754,8509634.55998855,7041255.19682955,24999999.67137872,23436930.03514141,16692342.89164788,16632123.56764788,0.0
0x85257f61bcf59f7498007d8e08d6efb7ac1eef4c,6765864.30291778,6765864.302917781,6765864.302917781,6765864.302917781,6765864.302917781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa00168705b94b882ba4a8d739f5748674b6580d4,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0,6397048.0
0x0211f3cedbef3143223d3acf0e589747933e8527,6211561.17022373,6211561.170223724,6211561.170223724,6211561.170223724,6540706.994223724,6540706.994223724,6540706.994223724,6945485.994223724,6945485.994223724,6945485.994223724,7260207.700836908,7260207.700836908,7260207.700836908,3447808.0,3447808.0,3447808.0,807936.611
0x8543b6e13688673c5f2ca78f5e20484532d1fd81,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0,6182360.0
0xc35a262b846c49bfb6c6d697b5cc7d5544422460,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522,5999710.522
0x99c195a13f7cdc1e1d20033469a357de57572d8f,5856046.99973501,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,5856046.999735007,0.0
0x48572dc9a2860c17f0f5b39ef7127da4b1dcbacf,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5,5795962.5
0xe61ed4d6722396334ab7589760f0bff5656142eb,5712759.49690394,3812759.496903945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xbf9b76db1ffa3d0deac83cd8642af546daabff1d,5611000.0,5611000.0,5611000.0,5611000.0,5611000.0,5611000.0,5611000.0,16415502.0,16415502.0,16415502.0,16415502.0,16415502.0,16415502.0,16415502.0,16415502.0,18444502.0,31740259.5
0x76653c0e33e15adacf52b614491ac7fd9465df4b,5555555.56,5555555.56,5555555.56,5555555.56,5555555.56,5555555.56,5555555.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcd262b16421ac23d13d345e4e08875374d5235bf,5511903.53710221,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209,5511903.537102209
0x6be00dbac45341f647a58cc7a3889335b275575b,5421244.798,5421244.798,5421244.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x06d67040d762e1babdfe291e2f5576e55adbbbd0,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055,5154630.055
0x031784a4ab12565cef4a883b46e6ec03584ca0c2,5138307.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x52d0b48acf364de99e2f6884db49c8e54f8a6233,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0,5007106.0
0xdcfdd07b1d0cd1fa19f72126c95a6c3a828cdf9f,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941,4909457.941
0x5cfa454b330a9166b377aa51b8d030b3ea5910b7,4900599.11443925,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247,4900599.114439247
0xfde4dca6d42afc9fef253f2729f465cd789c9034,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325,4797791.9972325
0xe436115aa131876deb77627ae01a5ff1a8046a7f,4765168.89293333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333,4765168.892933333
0x995d3ae2758ee7f52f814d871d28f18097454449,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5,4725077.5
0xb469b7c7da20f2e098843a9e66053ed3b6e4286b,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329,4516429.62636329
0x340d0db8adccd92d7be1b86608d83a5de3f9b1cf,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4411004.71022756,4466884.929369465
0x73f40a6af6abe2bad3f80676f67ec557719f1ae3,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89,4388888.89
0x32ab5dbddfdd28db8ffd5e3fa13c3f48288e4d8c,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47,4349714.47
0x0ee12dec6b77a6c7c7fa20acdb986249a2f994d4,4341022.20788358,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578,4316022.207883578
0x1d72ace91a048e57acb931559ed76461525b77ad,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245,4300408.245
0x07578fcf015ace3c204781648146f4524322a98a,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04,4295525.04
0xc211bc59415e11cc002ab9a32fb9c6252c7df4e7,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725,4295524.9725
0x93fe3b1f761468daf014f79bc66df0459379dba7,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54,4208548.54
0xcf6a25fc6ea699ff5f972110b0171a595bef74b4,4151682.78355041,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096,4151682.7835504096
0x138b3198231e5e845e553faf5598928fc9275e4c,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723,4136560.83130723
0x9ba3560231e3e0ad7dde23106f5b98c72e30b468,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0,4045418.0
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,4022387.76718116,4012252.7671811576,4003117.7671811576,3995499.8671811577,3990464.8671811577,3990464.8671811577,3950843.8671811577,3748864.614199628,3748864.614199628,3648207.600299628,3640158.600299628,4073593.913794712,0.0,0.0,0.0,0.0,0.0
0x3576f71d9fc9026f545d1ccdf38d6ebf4963e597,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,4000935.0,0.0
0x5d3e4bf877fce487cc440c8830bac3e06bed34f3,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296,3974558.296
0xd0e55538fd6ad8e556042f1b4144f0406386e0eb,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,3934015.0,0.0
0x901dca2c7ee156a1b3d340ef8d461b39bf0b8a40,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775,3865973.7775
0xb66cadd394302d5872d0048a67b74c72690b11db,3861694.71623436,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,3861694.716234364,0.0
0x2bab67cef4e7dca647893a02031f32c82668ad57,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447,3810636.447
0xc97afe422016a2d94dcd0abed47e5f9c9cefe4ac,3665514.53323333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.533233333,3665514.5332333334
0x7814c1aa8ed09c693ebcd5dff6451d6440a7a0ef,3621944.08529691,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.085296911,3621944.0852969107
0xa8243d5fbac3f05d6316dc94eeec4bc00fdee022,3422216.41668485,3422216.416684848,3422216.416684848,3422216.416684848,3422216.416684848,3470694.668194188,3470694.668194188,3470694.668194188,3470694.668194188,3470694.668194188,3531296.388893786,3531296.388893786,3531296.388893786,3531296.388893786,3531296.388893786,3531296.388893786,3531296.388893786
0xe7e61c6893556b0b1273115240a1e97e41ef4776,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,3418650.9,0.0
0x869114c4d6df414339b24e5034a4a3649f12d940,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0
0x5e9f736f314c9108ac72d4cfed4bcc09c01309a6,3303495.45574621,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213,3303495.455746213
0xe78fbafdb2286d35dec069acf24a2c88ae4a4f64,3297235.4729,3297235.4729,3499495.4039,3499495.4039,3499495.4039,3499495.4039,3499495.4039,3499495.4039,3499495.4039,3499495.4039,3499495.4039,3499495.4039,3499495.4039,0.0,0.0,0.0,8074763.206
0x44a495dea48454b130129fa2cdaf2cf69f5e686f,3292265.75638813,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131,3292265.756388131
0x201c087a8fb940e3df0738b76f555eabbb0eb66f,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0,3284379.0
0x9e97c5d18f858d954e4f0868fb93d186306aa44d,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745,3265504.5745
0xa32b4ad5b5ac4258c36b4404369b9e7c95566de8,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767,3198784.17995767
0xef98fa772dfec1297037d891d7e677ff3f7d770a,3190601.98935062,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457,442.06039061731457
0xe2452f826e0b40ecdcf8d1c5ee9932bab2387107,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0,3187470.0
0xb922e5ade136cb9588f5230249cba93ee114477d,3135576.779897,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044,3135576.7798970044
