HolderAddress,Balance_2021-04-20_16-58,Balance_2021-04-21_16-45,Balance_2021-04-22_16-23,Balance_2021-04-23_21-13,Balance_2021-04-24_8-8,Balance_2021-04-25_17-23,Balance_2021-04-26_19-54,Balance_2021-04-27_18-39,Balance_2021-04-28_19-45,Balance_2021-04-30_12-45,Balance_2021-05-01_8-32,Balance_2021-05-04_19-49,Balance_2021-05-05_17-39,Balance_2021-05-09_8-59,Balance_2021-05-10_21-29,Balance_2021-05-12_21-2,Balance_2021-07-17_21-52,Balance_2021-07-18_12-0
0x3aa52a11b2437f3a7ba9298853b19068e95e423f,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0
0xebc498ba54e3914b05ca50398e2c0f92845c14dd,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,1658768.61,0.0,0.0
0x71abf4ee5bc5caf181080f9c39965220b0167e69,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328,1633479.328
0x8fff6532672dcee805c8314cc07c2992fbca6fc3,1500000.0,1500000.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x7141965edc908d61feebe07367a871acb7b700bb,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323,1422435.5323
0x92cece0c71c758be2ecc7b247dfc8f7ce40d3a53,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768,1417584.5768
0x6adb157f7c5b3a90e75d4268114b48ac2469aa1e,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5,1417432.5
0x65daf08f40cdd0144f30d8d7714621a0065b721c,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096,1416666.0096
0xdd8a285b5ab9bab5dfa8911fb8f32254111874b1,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,1404874.4354,0.0,0.0
0xbdedfe991ef2d8a7a8e774f0f13179cb8a59411a,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936,1380239.9936
0xcd8478a23243191dd78e68eecf95fa97c890b541,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048,1325467.0048
0x8b003d1b660141bd37dc783d314638e7e68c00a6,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318,1322992.2318
0x1212bc51ea837c0917ed7e4ac157dc3f5f090b65,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38,1322576.38
0xc3dca0a85949db9a5c61262984c2f0365d970440,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0,1317410.0
0x874868cc08ae6d8ce32165e7d21dbaa74346c9eb,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0
0x1342bd77d520aec90fa676fe6ecc19529fcb5900,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0
0x7daf16e76ac2798a49461527e807dd07a6271ec2,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0,1317210.0
0xd0b5f27d27dddb7eeb0ecb2680aa3eac7adbe589,1252500.0,1252500.0,1252500.0,1252500.0,1252500.0,1252500.0,1252500.0,1252500.0,1252500.0,1002500.0,1002500.0,302500.0,302500.0,302500.0,302500.0,302500.0,302500.0,302500.0
0xe49ea0019414503ed62ae7647fd6358944581fa0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0,1248750.0
0xe1ad1df53cff3bc0733dbb276baf2e1bb6a66f9d,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999,1242026.3999
0x77feba7e1f23359b8da67fa79712117e17814e79,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0
0x0ae146982b2657b1304b4d4827cd4db1236f57d4,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0,1193125.0
0x9fe401972b2a34ef7c311d829f4bee805c808f34,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0,1101000.0
0x2d9538ef6edc1414d7be9cd49422cb1b2731bf53,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0,1080102.0
0x62e46a6bfaebe68685977d6fb1e02955d2952e3e,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5,1073812.5
0x6874cab7d1e12d4ed87ca19bc238f33b254c9fcb,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0,1053768.0
0x7c18f91a2189865970722c6264f7d0cb3cf1ea21,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1,1023033.1
0xdec6eff08c801deb1f464a95a5c81351d46738f3,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999,1005999.9999
0x6199335ab90024d845a4380ccedd772c0d272b83,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62,1001687.62
0x22717554e083909aa5287db60ab68c8a0ee9a01d,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
0x1c0d0f6663a981853f854a076f846cfd34e49c10,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0,994250.0
0xe6c4b5a0beade06ba81d880ed1ef4232412054d2,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0,965954.0
0xa1bde99594ec33c0c94386bb928c777797b25708,961195.3023,956045.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023,951745.3023
0x7895bca1e06ea4121e577dc3cc95c2e5712457de,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0,954500.0
0xd4a2ab67e29ef4802153fd8fc379459641ac9b00,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91,954458.91
0x6d2e71af8703bc56363f5838133f7ad00bd895e9,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666,952391.666
0x4452d55e3a551fb594a8131724236d3b63447401,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491,952325.6491
0x6000c4056d3edee75dde9c3aee575b5df4b0ad8e,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999,949727.4999
0x57721ac3e3c1afb02a7ce8707bec5eb18cbaf51a,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628,949715.2628
0x20bbbe09ea604caa51f6c59b09cea76bba3cfe48,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0,944940.0
0xcd84afb8b5efe684215352e82d6b0a2d78990947,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55,910879.55
0x391c9d82af4edd7d3ec23cefabf9a35b630b3a7a,905633.1135,905633.1135,905633.1135,905633.1135,916464.7893,916464.7893,916464.7893,916464.7893,916464.7893,916464.7893,916464.7893,916464.7893,1099306.4838,1099306.4838,1099306.4838,1099306.4838,1638498.1332,1638498.1332
