HolderAddress,Balance_2021-04-14_23-2,Balance_2021-04-16_21-11,Balance_2021-04-18_12-36,Balance_2021-04-19_18-40,Balance_2021-04-20_17-45,Balance_2021-04-21_17-52,Balance_2021-04-22_17-38,Balance_2021-04-23_22-34,Balance_2021-04-24_9-19,Balance_2021-04-25_18-31,Balance_2021-04-26_21-3,Balance_2021-04-27_19-45,Balance_2021-04-28_20-51,Balance_2021-05-01_9-36,Balance_2021-05-04_20-54,Balance_2021-05-05_18-45,Balance_2021-05-09_10-5,Balance_2021-05-12_22-7,Balance_2021-07-18_13-6
0x078c6ed4690e71b2e8dda1deebe4ad2a4dfadff9,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,1905000.0,0.0,0.0,0.0
0x27dbb0fd3387da162cddf1d97ee2ebd0ec147bdd,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9,1899921.9
0x6dcbd4c6b0ea83a5d638a228c1816760428fa315,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1853458.15988979,1734384.94488656,1734384.94488656,1619536.47233906,1619536.47233906,0.0
0xc8e6c078449ddbfbed165d3d8ac674bfce9e4b4d,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,1807505.0,0.0
0x9e3b5945c547bc04216936f32c172cef485ebe95,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1783265.52762654,1283265.52762654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x912631a2c144739200d3feaf8e30b8832589c8bc,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,1734841.33333333,0.0
0x62b18f24ceb4c928cb73968cb3567f5bea25f202,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1200000.0
0xfc991c525ec26157d28269db6f1e5128be11ab5c,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716928.94714252,1716828.94714252,1716828.94714252,1716828.94714252,1716828.94714252,0.0,0.0,0.0
0x60fb2fb2ece646db7bd46958248dca368961a67a,1706410.34669819,1706410.34669819,1706410.34669819,1706410.34669819,1706410.34669819,1706410.34669819,1706410.34669819,1706410.34669819,1706410.34669819,1706410.34669819,1699916.19392332,1681352.32853467,1681352.32853467,1578529.58922637,1563529.58923193,1563529.58923193,1563529.58923193,1533000.88097358,584714.84095948
0x945dd0eaca3ca61a60cf61ec7939466d673a75b0,1647173.81605616,1647173.81605616,1647173.81605616,1647173.81605616,1647173.81605616,1647173.81605616,1647173.81605616,1647173.81605616,1647173.81605616,1647173.81605616,1798250.70713491,1934587.5121338,2052156.57398519,2052156.57398519,2243630.1835201,2450603.84262477,2858654.40006952,3038947.66081727,0.0
0x4d835bd0297d7f23beb80a160816e89a2d622233,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364,1606427.64366364
0xebb2dd0bbaa1274aa26fc37c6ba631b51077980b,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0,1605835.0
0xc3cc9f5fc616fc32677080cd5c53c942d2444ceb,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,1600000.34328502,0.0
0x0d714c0ffe882f90101ef2bdb0958bb2e4018d35,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0,1595825.0
0xc3c0837d7b0a894ec8dcc9e03d43c3075e0bc996,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,1545023.0,0.0
0x5e5b0276e59c72744638a98a84d5c9bc68b79e65,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171,1511147.50209171
0x9f1879112fe0b202012f977729be2666e1bb2cd7,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,1500000.77109236,0.0
0x54c471a9a11361845fd27126254bbfc6775c32d9,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
0xce20739e81dfd313558fb146181a5fcfb8b616fa,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0,1499170.0
0x75f0e91e9cbbdac4ca253c0939f6d149fe4397ff,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,1490946.0,990946.0,990946.0,990946.0,450046.0
0x9eff1af2a2e7d2f872406ba33ec8e65037df1481,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,1430968.89706992,0.0,0.0,0.0,0.0
0xb2e19dd996848818d972dd3a60a1b7faffb82330,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1418083.24523044,1.0,1.0,1.0,1.0,1.0,1.0
0x108fb8c18dd3ce3a0ec957533a63ece39750e7d2,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218,1407796.2218
0x059422a62d4e38daa0204e0bb21b3ad964c69961,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x78b19280564c14af66ddd9c26284e73d9a4f860b,1387555.38491335,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900874.50100394,1900929.80072198,1900929.80072198,1900929.80072198,1900929.80072198,1900929.80072198,1900929.80072198,0.0
0xacdc64253367e3da7a7297c1072278889b4be2be,1338707.0,1255250.0,997591.0,1007591.0,1007591.0,1007591.0,1007591.0,1007591.0,1007591.0,947591.0,947591.0,947591.0,877591.0,766480.0,563983.0,563983.0,563983.0,563983.0,563983.0
0xe4111ef11d918b82517a033b4bb64d8b4fb00260,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,1255133.58664839,9e-08,9e-08,9e-08,9e-08,9e-08,9e-08
0x5bfce71a1909b4525156290a8fa61af0f723ab4b,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699,1251986.99052699
0xd5ff3a0c40ddbc74df7fed255ce1ddd554b19863,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0,1250180.0
0x9ecc4dec8a700da55782ea012c325aaaff461476,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0,1250100.0
0xdb27ed7522d720cb326dfa4f0b54adf0b5c7a077,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026,1199495.4634026
