HolderAddress,Balance_2021-04-20_17-23,Balance_2021-04-21_17-20,Balance_2021-04-22_16-58,Balance_2021-04-23_22-1,Balance_2021-04-24_8-43,Balance_2021-04-25_17-57,Balance_2021-04-26_20-30,Balance_2021-04-27_19-14,Balance_2021-04-28_20-19,Balance_2021-04-30_13-21,Balance_2021-05-01_9-4,Balance_2021-05-04_20-24,Balance_2021-05-05_18-14,Balance_2021-05-09_9-34,Balance_2021-05-10_22-36,Balance_2021-05-12_21-36,Balance_2021-07-18_12-34
0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,386559.825726075,383986.2932532097,384061.54791082186,53257.80425607651,71514.97523620274,224249.0575723241,346509.19426570844,392809.9272186032,464631.30166264,509126.95716016856,508523.602441495,475908.1992784126,527351.1794345225,641458.2576744008,631647.8152281833,372855.1074451112,518540.2404422225
0x43ae24960e5534731fc831386c07755a2dc33d47,383761.712088799,400597.9643047967,404138.6524350916,405987.2348457503,404812.625118531,410599.4159265041,405452.1105115659,405992.09718256857,411618.33523876726,400841.3752949769,346292.44633778685,380015.8831396864,374475.99544269225,200305.2717447829,208417.6156207524,194626.28935766025,166621.17989918494
0xe5ac9548275787cd86df2350248614afab0088ee,375310.134597622,392508.30784612393,401296.0956827164,412449.27741959295,409907.88824851904,410739.9767301267,404886.1762489673,403668.48982993903,406796.0159555157,403572.1947864846,401690.0571202458,458683.345008352,452945.52205352753,477699.8812114958,509731.18900738185,476764.1253793169,3246.406741498823
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,375285.670953811,337141.9106774407,330182.7066917007,327630.8431481907,342095.8401481907,336390.0452281707,330524.04322817066,339889.4986281707,353469.0986281707,351769.02916441066,362035.02916441066,385591.5348468007,380545.4288468007,406136.7304922307,389018.2604922307,391532.2258350907,381583.92794021114
0x05e793ce0c6027323ac150f6d45c2344d28b6019,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226,374111.4852226
0x89b76bdda22a59014e7c67a612ca80dad957e13d,358558.693891883,358558.6938918826,358558.6938918826,358558.6938918826,358558.6938918826,365912.8031977068,365912.8031977068,365912.8031977068,365912.8031977068,365912.8031977068,365912.8031977068,239540.4022377736,239540.4022377736,239540.4022377736,239540.4022377736,239540.4022377736,60056.80318022511
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350001.0
0x3d4ad2333629ee478e4f522d60a56ae1db5d3cdb,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,334687.0,234687.0
0xdd709cae362972cb3b92dcead77127f7b8d58202,332890.970229595,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,332890.9702295945,0.0
0x46b46931423e711d051e264020acad89c0e147bd,330194.348808349,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864,330194.34880834864
0xa9429b0080cdb0bdc7ecc5ada5ad3344cf8e658c,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676,326775.676
0xd6216fc19db775df9774a6e33526131da7d19a2c,320000.0,320000.0,320000.0,300000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,140000.0
0xe3f9cf7d44488715361581dd8b3a15379953eb4c,300112.572366071,310115.0819492637,321486.44557769527,470969.6513882917,465209.2465701005,475467.3222202092,466107.7412010632,461754.8380869085,464492.4717075282,458461.5804470097,433737.7483715562,478940.0247533359,471371.0592159168,448790.4694600011,452808.9229092191,2750.468071068618,1439.7635787000752
0x5fe906fe169807f6b8c16fca609ef9cc60d711ef,298026.725354513,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134,298026.7253545134
0x542a0eaf1358480ec0703f07bc3120a6503ebbc1,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,291644.291068775,469805.153015057
0xe4bc96b24e0bdf87b4b92ed39c1aef8839b090dd,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,289323.439207936,268660.22598855576
0x01b317e9778c47fba20e30db001f9d72abfa2a6f,276071.429680244,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,276071.4296802444,105789.84795650085
0x4357675703b7698fdf0829de3e51abdfed74fc91,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26,273993.26
0xa929022c9107643515f5c777ce9a910f0d1e490c,270907.5,274867.5,274867.5,269405.5,269405.5,279475.5,267489.5,267489.5,261376.5,261376.5,261376.5,272281.5,272281.5,249875.5,249875.5,226301.5,172346.5
0x404de972e8138c4982ace8bdd7fc0e755de33afd,268394.06676427,290017.0740898,290017.0740898,292591.16445509,292591.16445509,292591.16445509,292591.16445509,292591.16445509,294558.8590219,300778.2002973,300778.2002973,300778.2002973,304196.99889769,307153.02874127,307153.02874127,311331.92703539,338273.20501457
0x99f4176ee457afedffcb1839c7ab7a030a5e4a92,263957.007064923,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,263957.00706492306,1049.5338647416786
0xbe86f784eb2a34a8e49f4c0bddb919e6ef099988,259462.341180644,259462.34118064417,261171.2034162469,261171.2034162469,261171.2034162469,261171.2034162469,261171.2034162469,261171.2034162469,262074.1626534712,262074.1626534712,262074.1626534712,263268.8800510964,263268.8800510964,263268.8800510964,264872.36056712567,265245.6017242675,269896.95164498093
