HolderAddress,Balance_2021-04-14_23-2,Balance_2021-04-16_22-6,Balance_2021-04-18_13-35,Balance_2021-04-19_19-43,Balance_2021-04-20_18-20,Balance_2021-04-21_18-36,Balance_2021-04-22_18-49,Balance_2021-04-24_10-3,Balance_2021-04-25_19-15,Balance_2021-04-26_21-46,Balance_2021-04-27_20-36,Balance_2021-04-28_21-34,Balance_2021-05-01_10-20,Balance_2021-05-04_21-53,Balance_2021-05-05_19-29,Balance_2021-05-09_10-51,Balance_2021-07-18_13-49
0x89da5a9fdc5cc2c1d4ae0add9f2feb91682e5b4d,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687,399013.85483687
0xe631eeada8220169517806673d2b0d8c6c1b10e7,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,387787.13720929,345250.13720929
0x291deeb668693a6fee34943d2a2bc50229889ff2,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919,385057.83526919
0xfcf8f80b7812469e75ddfc56cb114acf010485c9,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189,356576.1189
0x99e64e11493a3b616235d1b57d52d9884dcfe009,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675,350634.63538675
0xfb77f548c7f806a9b948a81aa0c37ab40d15ba04,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,331941.54519856,236921.96850968
0x3fcaa6d9b0776559290a493a7f4458c000f9cae4,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683,325000.47567683
0xa7fc80402d2e2e326949a68aa55dc83be9948e24,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562,316900.44821562
0xd2dd4f3beab3fd03971d5b4cb33319bd100c421a,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606,316739.94867606
0xae5f8c5c93413eecfb4a78094a3d13490d2b0dba,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,314479.76495598,321256.75210274,321256.75210274,321256.75210274,400924.00976193
0x4525ea6a8f5ca15dbbe520d57a4e873db53a1a1d,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417,307668.00195417
