HolderAddress,Balance_2021-04-14_23-1,Balance_2021-04-16_20-21,Balance_2021-04-18_11-56,Balance_2021-04-19_17-55,Balance_2021-04-20_17-21,Balance_2021-04-21_17-18,Balance_2021-04-22_16-56,Balance_2021-04-23_21-58,Balance_2021-04-24_8-41,Balance_2021-04-25_17-55,Balance_2021-04-26_20-28,Balance_2021-04-27_19-12,Balance_2021-04-28_20-17,Balance_2021-04-30_13-19,Balance_2021-05-01_9-2,Balance_2021-05-04_20-22,Balance_2021-05-05_18-12,Balance_2021-05-09_9-32
0x7b8374dbb22da6811787d1a0f33e0996e3ba783b,24000.06715918,22426.25815918,21000.0,21000.0,21000.0,16350.0,16350.0,14639.2,14639.2,14639.2,14639.2,14639.2,14639.2,11000.0,8000.0,38169.2173522,35000.0,32200.0
0x1b7c969150ca12d3c6a8abd986363fbc9bb27991,23613.33025592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4777c7ee4d0918e9f193ae639d7c1e0e13c486ab,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,23436.91353443,20006.91353443,20006.91353443,15006.91353443,12506.91353443,12506.91353443,12506.91353443
0xa154bf415c071af7561d208a33f75530fd93c746,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0,21351.0
0xea0f9758e40fd140c32a68161907c6b95064921d,21201.41954577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x5c813d5952e899342dee58e84830509ce5d1f71d,21131.88954887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3dad8cf200799f82fd8eb68f608220d8f3ebf8de,20474.86795578,20392.52699441,20392.52699441,20392.52699441,20392.52699441,20392.52699441,20392.52699441,20392.52699441,20392.52699441,20392.52699441,20010.52635437,20010.52635437,20010.52635437,20010.52635437,19796.9037915,19796.9037915,19796.9037915,19796.9037915
0xf16791b3ce82a5f27420cc645d3387aa6bc1d692,20000.04346292,0.0,9556.68170326,11344.59610925,11344.59610925,9000.09610925,9000.09610925,14500.09610925,14500.09610925,14500.09610925,12613.57173313,20000.57173313,10000.0,20000.0,25399.57269781,30401.10552215,40612.67805809,40612.67805809
0xd71c9450da5684898131851bb3bb657b45fd785f,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
0x89de676113b65a79a0d9faf90d0aa7e475e7b118,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
